epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,514.451,1.34621,1.04556,1.60975,0.60541,0.38889,0.42381,0.15614,2.30096,2.48007,2.51385,0.0004258,0.0004258,0.0004258
89,519.126,1.28995,1.0925,1.61731,0.55103,0.36111,0.35824,0.14339,2.33329,2.63787,2.53753,0.0004192,0.0004192,0.0004192
90,523.752,1.19993,1.04477,1.50789,0.57396,0.27778,0.27987,0.1172,2.40156,2.87325,2.58987,0.0004126,0.0004126,0.0004126
91,529.047,1.30071,1.0592,1.62616,0.29489,0.41667,0.30415,0.13513,2.40429,2.87566,2.5029,0.000406,0.000406,0.000406
92,533.652,1.26461,1.0288,1.57012,0.34646,0.38299,0.30147,0.11834,2.43721,2.76813,2.48923,0.0003994,0.0003994,0.0003994
93,538.27,1.27522,1.00041,1.60045,0.39329,0.43233,0.29688,0.1074,2.37115,2.67378,2.46163,0.0003928,0.0003928,0.0003928
94,543.681,1.27404,1.03753,1.55581,0.4092,0.47222,0.29384,0.10993,2.31387,2.58555,2.44762,0.0003862,0.0003862,0.0003862
95,548.314,1.24435,1.06683,1.54136,0.40217,0.38889,0.262,0.09379,2.33118,2.61726,2.50707,0.0003796,0.0003796,0.0003796
96,553.112,1.26086,0.95225,1.55558,0.43592,0.36111,0.26152,0.09101,2.35096,2.5344,2.49922,0.000373,0.000373,0.000373
97,558.445,1.27756,1.00505,1.60381,0.39468,0.38889,0.27306,0.10296,2.30246,2.30961,2.46247,0.0003664,0.0003664,0.0003664
98,563.057,1.2615,1.00679,1.53405,0.36262,0.36111,0.3156,0.13566,2.28616,2.31085,2.44051,0.0003598,0.0003598,0.0003598
99,568.201,1.27719,1.00168,1.59309,0.60045,0.36111,0.38211,0.16123,2.18822,2.37787,2.28727,0.0003532,0.0003532,0.0003532
100,573.269,1.22879,0.9119,1.54004,0.44391,0.38889,0.35204,0.15195,2.23699,2.4833,2.32904,0.0003466,0.0003466,0.0003466
101,577.959,1.20592,0.93503,1.52361,0.4691,0.38889,0.35814,0.15267,2.33777,2.55815,2.39595,0.00034,0.00034,0.00034
102,583.16,1.17399,0.98038,1.53235,0.45654,0.47222,0.37956,0.15704,2.31721,2.50068,2.36553,0.0003334,0.0003334,0.0003334
103,588.106,1.20357,0.93028,1.5481,0.45071,0.38889,0.3591,0.15153,2.33847,2.45533,2.37797,0.0003268,0.0003268,0.0003268
104,592.754,1.2025,0.91574,1.51698,0.43651,0.38889,0.3259,0.13388,2.27982,2.48125,2.31717,0.0003202,0.0003202,0.0003202
105,597.901,1.16507,0.89626,1.51204,0.43001,0.37742,0.31243,0.1199,2.29578,2.60652,2.33249,0.0003136,0.0003136,0.0003136
106,602.563,1.1815,0.82456,1.44942,0.43689,0.36111,0.3112,0.11707,2.31552,2.79085,2.38006,0.000307,0.000307,0.000307
107,607.21,1.11378,0.83258,1.44903,0.3966,0.41667,0.31528,0.12324,2.36693,2.78208,2.45292,0.0003004,0.0003004,0.0003004
108,612.415,1.1566,0.88468,1.51564,0.30148,0.41667,0.28813,0.09821,2.39639,2.66207,2.53101,0.0002938,0.0002938,0.0002938
109,617.043,1.18321,0.87173,1.51375,0.56465,0.30556,0.31981,0.10494,2.38571,2.58895,2.54497,0.0002872,0.0002872,0.0002872
110,621.712,1.1384,0.92317,1.45821,0.54032,0.30556,0.31727,0.10631,2.30855,2.5693,2.50858,0.0002806,0.0002806,0.0002806
111,627.038,1.18641,0.87586,1.488,0.33982,0.47186,0.31391,0.10015,2.37399,2.57368,2.51361,0.000274,0.000274,0.000274
112,631.721,1.16099,0.87852,1.45593,0.46015,0.36111,0.31861,0.10723,2.37078,2.48421,2.50442,0.0002674,0.0002674,0.0002674
113,636.464,1.07939,0.79882,1.38876,0.40852,0.44444,0.33672,0.11734,2.36072,2.5065,2.49744,0.0002608,0.0002608,0.0002608
114,641.762,1.15989,0.84952,1.4811,0.57137,0.29656,0.30566,0.10395,2.36839,2.54619,2.48837,0.0002542,0.0002542,0.0002542
115,646.502,1.14353,0.88963,1.43376,0.53816,0.22222,0.24475,0.10239,2.41857,2.81485,2.48319,0.0002476,0.0002476,0.0002476
116,651.415,1.07843,0.77129,1.37407,0.34,0.36111,0.25663,0.10477,2.43305,2.8817,2.47306,0.000241,0.000241,0.000241
117,656.604,1.13356,0.82491,1.43141,0.37171,0.30556,0.27993,0.10573,2.45884,2.80586,2.53773,0.0002344,0.0002344,0.0002344
118,661.197,1.12979,0.80941,1.42409,0.34693,0.36111,0.27955,0.10393,2.45823,2.72294,2.61066,0.0002278,0.0002278,0.0002278
119,666.269,1.06155,0.79213,1.39395,0.6295,0.25,0.29166,0.10986,2.454,2.62797,2.62727,0.0002212,0.0002212,0.0002212
120,671.481,1.115,0.81118,1.4536,0.61879,0.25,0.29849,0.10875,2.43994,2.55277,2.65891,0.0002146,0.0002146,0.0002146
121,676.094,1.09672,0.77389,1.40056,0.33123,0.41667,0.29042,0.11843,2.40046,2.35089,2.62588,0.000208,0.000208,0.000208
122,681.295,1.03895,0.72862,1.38647,0.458,0.46953,0.3629,0.14722,2.29294,2.13374,2.5302,0.0002014,0.0002014,0.0002014
123,686.18,1.04894,0.7611,1.40135,0.45208,0.52778,0.39182,0.16187,2.31825,2.27968,2.53262,0.0001948,0.0001948,0.0001948
124,690.841,1.02413,0.77464,1.3769,0.43158,0.41667,0.35002,0.13621,2.39346,2.33147,2.57588,0.0001882,0.0001882,0.0001882
125,696.138,1.09795,0.788,1.44134,0.49984,0.5,0.37353,0.13328,2.42278,2.38825,2.58114,0.0001816,0.0001816,0.0001816
126,700.823,1.07273,0.76891,1.40041,0.47881,0.41667,0.33943,0.14078,2.41055,2.49162,2.54844,0.000175,0.000175,0.000175
127,705.448,1.00511,0.72119,1.36323,0.43602,0.38889,0.3205,0.13884,2.42816,2.49572,2.55754,0.0001684,0.0001684,0.0001684
128,710.742,1.02308,0.74861,1.33032,0.40359,0.41667,0.32635,0.12637,2.41613,2.42918,2.53362,0.0001618,0.0001618,0.0001618
